RI	Na	Mg	Al	Si	K	Ca	Ba	Fe	Type	hardness	color	tranparency	id	density	thermal_exp
1.51567	13.29	3.45	1.21	72.74	0.56	8.57	0	0	1	6	WH	TP	id47	2.7329187499036	8.19028485789687
1.52177	13.2	3.68	1.15	72.75	0.54	8.52	0	0	2	5	CL	TP	id48	2.1522414575297	9.88003706226378
1.51848	13.64	3.87	1.27	71.96	0.54	8.32	0	0.32	2	4	CL	TP	id49	2.50108725889515	8.67134709277368
1.51763	12.61	3.59	1.31	73.29	0.58	8.5	0	0	1	4	CL	TP	id50	1.99062371077434	9.73889079276246
1.51593	13.25	3.45	1.43	73.17	0.61	7.86	0	0	2	4	WH	TL	id51	2.80178326927854	10.7459212990869
1.51569	13.24	3.49	1.47	73.25	0.38	8.03	0	0	2	5	CL	TL	id52	2.49778065549927	8.77711188245832
1.51966	14.77	3.75	0.29	72.02	0.03	9	0	0	1	4	CL	TP	id53	2.46706368461483	10.1082247765716
1.51915	12.73	1.85	1.86	72.69	0.6	10.09	0	0	4	3	WH	TP	id54	2.41962195169655	8.45217366314417
1.51969	14.56	0	0.56	73.48	0	11.22	0	0	4	3	OT	TL	id55	2.70280340152515	8.38959782993443
1.51776	13.53	3.41	1.52	72.04	0.58	8.79	0	0	3	4	CL	TP	id56	2.49833716077151	9.48985017669433
1.51839	12.85	3.67	1.24	72.57	0.62	8.68	0	0.35	2	4	CL	TP	id57	2.3181787573668	7.99284875154932
1.51683	14.56	0	1.98	73.29	0	8.52	1.57	0.07	5	2	OT	OP	id58	2.34039506761857	9.21045183796718
1.5169	13.33	3.54	1.61	72.54	0.68	8.11	0	0	2	3	CL	TP	id59	2.57431564217961	6.54876355982736
1.52222	14.43	0	1	72.67	0.1	11.52	0	0.08	2	6	CL	TP	id60	2.26615896997755	8.48308106679063
1.5159	13.02	3.58	1.51	73.12	0.69	7.96	0	0	2	3	CL	TP	id61	2.30457010633534	8.68178325123057
1.51694	12.86	3.58	1.31	72.61	0.61	8.79	0	0	3	67	CL	TP	id62	2.61538157309109	9.93505222305381
1.51911	13.9	3.73	1.18	72.12	0.06	8.89	0	0	1	7	WH	TP	id63	2.33905623391995	9.7472479640382
1.51747	12.84	3.5	1.14	73.27	0.56	8.55	0	0	1	7	CL	TP	id64	2.53327840512251	8.96817675060745
1.51571	12.72	3.46	1.56	73.2	0.67	8.09	0	0.24	1	7	CL	TP	id65	2.41835705913241	8.55606687264036
1.51651	14.38	0	1.94	73.61	0	8.48	1.57	0	5	7	OT	TL	id66	2.37722442613627	7.96395063704191
1.51605	12.9	3.44	1.45	73.06	0.44	8.27	0	0	2	5	CL	TL	id67	2.79471797868596	7.86041358103247
1.51888	14.99	0.78	1.74	72.5	0	9.95	0	0	4	7	OT	TL	id68	2.76223162713524	7.22910702882292
1.51769	13.65	3.66	1.11	72.77	0.11	8.6	0	0	3	7	WH	TP	id69	2.56699814103372	10.6827942235507
1.51755	12.71	3.42	1.2	73.2	0.59	8.64	0	0	1	3	CL	TL	id70	2.65559975480124	8.04804531232675
1.5167	13.24	3.57	1.38	72.7	0.56	8.44	0	0.1	3	1	CL	TP	id71	2.5474280304552	5.86369221062694
1.51838	14.32	3.26	2.22	71.25	1.46	5.79	1.63	0	5	7	OT	TL	id72	2.78919769621241	11.0053388618256
1.5175	12.82	3.55	1.49	72.75	0.54	8.52	0	0.19	1	5	CL	TP	id73	2.43426559718195	8.14409569621545
1.52081	13.78	2.28	1.43	71.99	0.49	9.85	0	0.17	2	2	CL	TL	id74	2.46691716923831	9.54214117933764
1.51743	13.3	3.6	1.14	73.09	0.58	8.17	0	0	1	1	CL	TL	id75	2.35297064050866	9.10568472307844
1.52211	14.19	3.78	0.91	71.36	0.23	9.14	0	0.37	3	2	CL	TP	id76	2.32520920867598	9.73815649129362
1.51674	12.87	3.56	1.64	73.14	0.65	7.99	0	0	2	4	CL	TP	id77	2.57656041120446	7.90496895675771
1.518	13.71	3.93	1.54	71.81	0.54	8.21	0	0.15	2	3	WH	TP	id78	2.45952453315416	10.6633379095309
1.52177	13.75	1.01	1.36	72.19	0.33	11.14	0	0	2	4	WH	TL	id79	2.49076423904329	8.10172763724397
1.51662	12.85	3.51	1.44	73.01	0.68	8.23	0.06	0.25	2	1	CL	TL	id80	2.66958797799508	9.30620920545964
1.51811	12.96	2.96	1.43	72.92	0.6	8.79	0.14	0	2	6	WH	TP	id81	2.57388518210889	11.0844519812444
1.51783	12.69	3.54	1.34	72.95	0.57	8.75	0	0	1	2	CL	TL	id82	2.53648656256553	10.8540931004653
1.51627	13	3.58	1.54	72.83	0.61	8.04	0	0	2	5	CL	TL	id83	2.63753979211231	8.02408134484157
1.51645	13.4	3.49	1.52	72.65	0.67	8.08	0	0.1	2	1	CL	TP	id84	2.34793723364386	8.7255708668446
1.51764	12.98	3.54	1.21	73	0.65	8.53	0	0	1	1	CL	TP	id85	2.8816167669284	12.077368990049
1.51934	13.64	3.54	0.75	72.65	0.16	8.89	0.15	0.24	3	2	CL	TP	id86	2.32694602952747	8.72299153016981
1.52247	14.86	2.2	2.06	70.26	0.76	9.76	0	0	5	7	CL	TP	id87	2.5750468992983	7.41521037391258
1.51732	14.95	0	1.8	72.99	0	8.61	1.55	0	5	3	OT	OP	id88	2.85342824757384	8.8131753290545
1.52099	13.69	3.59	1.12	71.96	0.09	9.4	0	0	1	4	CL	TL	id89	2.44545433365348	7.18054827771841
1.51811	13.33	3.85	1.25	72.78	0.52	8.12	0	0	2	1	CL	TP	id90	2.58831202760048	8.98291410242089
1.51761	13.89	3.6	1.36	72.73	0.48	7.83	0	0	1	2	CL	TL	id91	2.28406184752954	10.1714011115503
1.52172	13.51	3.86	0.88	71.79	0.23	9.54	0	0.11	1	4	CL	TL	id92	2.46024227746566	9.68706665497681
1.51824	12.87	3.48	1.29	72.95	0.6	8.43	0	0	1	5	CL	TL	id93	2.3078089403554	8.62900366010971
1.51779	13.21	3.39	1.33	72.76	0.59	8.59	0	0	1	5	CL	TP	id94	2.25915564280539	8.65971811635341
1.52068	13.55	2.09	1.67	72.18	0.53	9.57	0.27	0.17	2	5	CL	TP	id95	2.61043331251456	10.8265254655672
1.51613	13.92	3.52	1.25	72.88	0.37	7.94	0	0.14	2	7	CL	TL	id96	2.43132635596392	10.9310509050878
1.51602	14.85	0	2.38	73.28	0	8.76	0.64	0.09	5	7	OT	TP	id97	2.41715413355468	5.99862674052183
1.51593	13.09	3.59	1.52	73.1	0.67	7.83	0	0	2	6	CL	TL	id98	2.76940416693079	7.76109195799419
1.51756	13.15	3.61	1.05	73.24	0.57	8.24	0	0	1	3	CL	TL	id99	2.29597554737298	5.19716217061024
1.51646	13.04	3.4	1.26	73.01	0.52	8.58	0	0	3	5	CL	TP	id100	2.72853818802382	9.72763792780311
1.52739	11.02	0	0.75	73.08	0	14.96	0	0	2	4	CL	TP	id101	2.26131261584716	10.0564186884215
1.52152	13.05	3.65	0.87	72.22	0.19	9.85	0	0.17	1	2	CL	TL	id102	2.14001410366064	9.92956889903464
1.5164	14.37	0	2.74	72.85	0	9.45	0.54	0	5	2	OT	TL	id103	2.47588234832942	11.1722682643851
1.51594	13.09	3.52	1.55	72.87	0.68	8.05	0	0.09	2	2	WH	TL	id104	2.18863763795866	8.45494564574794
1.51618	13.53	3.55	1.54	72.99	0.39	7.78	0	0	1	6	CL	TP	id105	2.52784762300385	9.91300525767814
1.51707	13.48	3.48	1.71	72.52	0.62	7.99	0	0	2	5	CL	TP	id106	2.67938914756544	7.32270696030192
1.52172	13.48	3.74	0.9	72.01	0.18	9.61	0	0.07	1	2	CL	TL	id107	2.15312059315014	8.25431527050669
1.51748	12.86	3.56	1.27	73.21	0.54	8.38	0	0.17	1	6	CL	TL	id108	2.45483669511421	7.79132048996245
1.51892	13.46	3.83	1.26	72.55	0.57	8.21	0	0.14	2	4	CL	TP	id109	2.60656450862988	8.67880384547114
1.5161	13.42	3.4	1.22	72.69	0.59	8.32	0	0	3	2	CL	TP	id110	2.60007502270832	9.06944623841123
1.51841	12.93	3.74	1.11	72.28	0.64	8.96	0	0.22	2	6	CL	TP	id111	2.10829744635477	7.74138458725155
1.51793	13.21	3.48	1.41	72.64	0.59	8.43	0	0	1	3	CL	TP	id112	2.84618890544746	9.3948674808225
1.51761	12.81	3.54	1.23	73.24	0.58	8.39	0	0	1	3	CL	TP	id113	2.76940029985941	10.0511375059984
1.51631	13.34	3.57	1.57	72.87	0.61	7.89	0	0	2	1	CL	TP	id114	2.3305933165408	7.47963263383224
1.52315	13.44	3.34	1.23	72.38	0.6	8.83	0	0	5	3	WH	TP	id115	2.63161718014904	9.82906560460451
1.51818	13.72	0	0.56	74.45	0	10.99	0	0	2	7	CL	TL	id116	2.28959729250673	11.4190149527221
1.51768	12.56	3.52	1.43	73.15	0.57	8.54	0	0	1	5	CL	TP	id117	2.62906563235503	10.7936454319311
1.52101	13.64	4.49	1.1	71.78	0.06	8.75	0	0	1	5	CL	TP	id118	2.6041178145837	8.46717597614767
1.52127	14.32	3.9	0.83	71.5	0	9.49	0	0	3	6	CL	TL	id119	2.56692703783166	10.3423052281253
1.51852	14.09	2.19	1.66	72.67	0	9.32	0	0	4	5	OT	TP	id120	2.49725237593412	9.49070309594384
1.53393	12.3	0	1	70.16	0.12	16.19	0	0.24	2	3	CL	TP	id121	2.79621540382106	9.2924783823422
1.51646	13.41	3.55	1.25	72.81	0.68	8.1	0	0	2	2	CL	TL	id122	2.26890076794853	8.44856140182424
1.51751	12.81	3.57	1.35	73.02	0.62	8.59	0	0	1	3	CL	TP	id123	2.79316495224028	9.9210615600787
1.51652	13.56	3.57	1.47	72.45	0.64	7.96	0	0	2	5	CL	TP	id124	2.28622867710018	7.64859867763364
1.5164	12.55	3.48	1.87	73.23	0.63	8.08	0	0.09	2	3	WH	TP	id125	2.98288994180695	10.437238773267
1.51115	17.38	0	0.34	75.41	0	6.65	0	0	4	1	CL	TP	id126	2.54311884169493	11.2878348602775
1.51743	12.2	3.25	1.16	73.55	0.62	8.9	0	0.24	2	6	CL	TP	id127	2.4019408579867	8.42983837653948
1.51784	12.68	3.67	1.16	73.11	0.61	8.7	0	0	1	4	CL	TP	id128	2.62328162916999	8.63531206267487
1.5186	13.36	3.43	1.43	72.26	0.51	8.6	0	0	2	3	CL	TP	id129	2.44787783652955	9.90207919449332
1.52369	13.44	0	1.58	72.22	0.32	12.24	0	0	4	3	CL	TP	id130	2.42158545273009	8.23334399898144
1.51666	12.86	0	1.83	73.88	0.97	10.17	0	0	4	1	CL	TP	id131	2.35511541371512	7.04076143441348
1.51574	14.86	3.67	1.74	71.87	0.16	7.36	0	0.12	2	3	CL	TP	id132	2.60389933614984	9.76888970596013
1.52058	12.85	1.61	2.17	72.18	0.76	9.7	0.24	0.51	4	6	CL	TP	id133	2.51367151817362	7.89916931105342
1.51778	13.21	2.81	1.29	72.98	0.51	9.02	0	0.09	1	2	CL	TP	id134	2.37103870908754	10.3287136072113
1.51755	13	3.6	1.36	72.99	0.57	8.4	0	0.11	1	7	WH	TP	id135	2.40524180363198	7.83609063968828
1.51763	12.8	3.66	1.27	73.01	0.6	8.56	0	0	1	1	CL	TP	id136	2.35391334428128	10.7270593581351
1.51735	13.02	3.54	1.69	72.73	0.54	8.44	0	0.07	1	22	WH	TL	id137	2.63794935552516	9.55151867193455
1.51846	13.41	3.89	1.33	72.38	0.51	8.28	0	0	2	4	CL	TP	id138	2.46020217247352	10.6253456798612
1.52213	14.21	3.82	0.47	71.77	0.11	9.57	0	0	1	5	CL	TP	id139	2.33501888378839	8.84477272072577
1.51613	13.88	1.78	1.79	73.1	0	8.67	0.76	0	5	7	OT	OP	id140	2.61609611465925	7.63616373586968
1.51786	12.73	3.43	1.19	72.95	0.62	8.76	0	0.3	1	1	WH	TP	id141	2.33326829187159	8.48630477643205
1.519	13.49	3.48	1.35	71.95	0.55	9	0	0	1	5	CL	TP	id142	2.78362823270075	8.16940866598278
1.51869	13.19	3.37	1.18	72.72	0.57	8.83	0	0.16	1	1	CL	TP	id143	2.64235722357014	9.38644030604844
1.51916	14.15	0	2.09	72.74	0	10.88	0	0	4	4	OT	TL	id144	2.55210491131097	9.49563229733953
1.51545	14.14	0	2.68	73.39	0.08	9.07	0.61	0.05	5	3	CL	TL	id145	2.82820723325073	6.86916080309607
1.51926	13.2	3.33	1.28	72.36	0.6	9.14	0	0.11	1	1	CL	TL	id146	2.4587599679414	7.55294217542494
1.51808	13.43	2.87	1.19	72.84	0.55	9.03	0	0	1	6	CL	TP	id147	2.31387793815128	9.02856477602298
1.51753	12.57	3.47	1.38	73.39	0.6	8.55	0	0.06	1	4	CL	TL	id148	2.56655647188758	7.39480939507009
1.5202	13.98	1.35	1.63	71.76	0.39	10.56	0	0.18	2	3	CL	TP	id149	2.7066660423207	7.99032455980267
1.523	13.31	3.58	0.82	71.99	0.12	10.17	0	0.03	1	3	CL	TP	id150	2.52964200885851	9.11933924903331
1.51655	13.41	3.39	1.28	72.64	0.52	8.65	0	0	3	2	CL	TP	id151	2.3585104371154	9.79791671010252
1.51851	13.2	3.63	1.07	72.83	0.57	8.41	0.09	0.17	2	6	CL	TP	id152	2.53144328033029	8.8140093301146
1.51918	14.04	3.58	1.37	72.08	0.56	8.3	0	0	1	5	WH	TP	id153	2.52271088825946	8.18799878291491
1.51299	14.4	1.74	1.54	74.55	0	7.59	0	0	4	3	CL	TP	id154	2.34495096049779	8.65871591058224
1.51514	14.85	0	2.42	73.72	0	8.39	0.56	0	5	3	CL	TP	id155	2.45412960278814	10.6143890090305
1.51813	13.43	3.98	1.18	72.49	0.58	8.15	0	0	2	3	CL	TP	id156	2.617801149845	9.90260947721232
1.51793	12.79	3.5	1.12	73.03	0.64	8.77	0	0	1	6	CL	TP	id157	2.26854922847531	11.2943010608931
1.51663	12.93	3.54	1.62	72.96	0.64	8.03	0	0.21	2	7	CL	TP	id158	2.92635954369577	9.54214612673102
1.51837	13.14	2.84	1.28	72.85	0.55	9.07	0	0	1	6	WH	TP	id159	2.58987951315835	11.5375385297986
1.51719	14.75	0	2	73.02	0	8.53	1.59	0.08	5	1	OT	TP	id160	2.56857152873005	11.3534703081267
1.51588	13.12	3.41	1.58	73.26	0.07	8.39	0	0.19	2	1	CL	TP	id161	2.40502320770025	7.70022777069568
1.51609	15.01	0	2.51	73.05	0.05	8.83	0.53	0	5	2	OT	OP	id162	2.50833073317715	10.3017906009065
1.52119	12.97	0.33	1.51	73.39	0.13	11.27	0	0.28	4	5	OT	OP	id163	2.52740497856317	9.41281670694747
1.51655	12.75	2.85	1.44	73.27	0.57	8.79	0.11	0.22	2	3	CL	TP	id164	2.74325329622787	5.98273736283571
1.51625	13.36	3.58	1.49	72.72	0.45	8.21	0	0	2	1	CL	TL	id165	2.66983863254054	8.84929125170304
1.5161	13.33	3.53	1.34	72.67	0.56	8.33	0	0	3	4	WH	TP	id166	2.65517081638328	5.84900444252348
1.5182	12.62	2.76	0.83	73.81	0.35	9.42	0	0.2	2	7	CL	TP	id167	2.45444305580456	6.94731034483293
1.5159	13.24	3.34	1.47	73.1	0.39	8.22	0	0	2	7	CL	TP	id168	2.69623419675717	11.4885385030221
1.51844	13.25	3.76	1.32	72.4	0.58	8.42	0	0	2	1	CL	TP	id169	2.88124083771248	7.83583189854866
1.51775	12.85	3.48	1.23	72.97	0.61	8.56	0.09	0.22	1	1	CL	TP	id170	2.44905528504721	9.20775259947236
1.51977	13.81	3.58	1.32	71.72	0.12	8.67	0.69	0	1	4	CL	TP	id171	2.53346597992976	10.3908612189192
1.51673	13.3	3.64	1.53	72.53	0.65	8.03	0	0.29	2	7	CL	TL	id172	2.957746637184	7.69352861994328
1.51969	12.64	0	1.65	73.75	0.38	11.53	0	0	4	4	OT	TP	id173	2.3770864632705	9.39292087275922
1.52043	13.38	0	1.4	72.25	0.33	12.5	0	0	4	2	OT	OP	id174	2.4037884027915	9.02359651692341
1.51784	13.08	3.49	1.28	72.86	0.6	8.49	0	0	1	4	CL	TP	id175	2.84512579730126	10.0999642704497
1.51653	11.95	0	1.19	75.18	2.7	8.93	0	0	5	3	OT	TL	id176	2.59171822953736	8.89604038962972
1.5232	13.72	3.72	0.51	71.75	0.09	10.06	0	0.16	1	3	CL	TP	id177	2.26602026601288	8.8145429971962
1.51665	13.14	3.45	1.76	72.48	0.6	8.38	0	0.17	3	4	CL	TP	id178	2.50486535023778	10.6079872792838
1.52614	13.7	0	1.36	71.24	0.19	13.44	0	0.1	2	3	CL	TL	id179	3.02774146251916	10.1038097197677
1.51872	12.93	3.66	1.56	72.51	0.58	8.55	0	0.12	2	1	CL	TL	id180	2.59376958802711	9.72929251488605
1.51789	13.19	3.9	1.3	72.33	0.55	8.44	0	0.28	2	6	WH	TP	id181	2.47994845958343	9.90755394103068
1.51721	12.87	3.48	1.33	73.04	0.56	8.43	0	0	1	3	WH	TP	id182	2.51162916745186	9.16563178416999
1.51617	14.95	0	2.27	73.3	0	8.71	0.67	0	5	3	CL	TP	id183	2.44206516540377	9.63245006614147
1.51832	13.33	3.34	1.54	72.14	0.56	8.99	0	0	3	3	CL	TL	id184	2.78108125976937	12.1720636198053
1.51409	14.25	3.09	2.08	72.28	1.1	7.08	0	0	2	3	WH	TL	id185	2.48895041495529	8.98986995288183
1.51689	12.67	2.88	1.71	73.21	0.73	8.54	0	0	2	7	WH	TP	id186	2.28454065727987	10.7366603160935
1.5172	13.38	3.5	1.15	72.85	0.5	8.43	0	0	1	3	CL	TP	id187	2.50964136164509	9.60545370899988
1.51514	14.01	2.68	3.5	69.89	1.68	5.87	2.2	0	4	3	OT	OP	id188	2.65486364016498	6.95800952165487
1.51905	13.6	3.62	1.11	72.64	0.14	8.76	0	0	1	3	WH	TP	id189	2.47170586183736	9.90890732082498
1.51769	12.45	2.71	1.29	73.7	0.56	9.06	0	0.24	1	7	CL	TL	id190	2.45371546203781	7.90510478177621
1.51215	12.99	3.47	1.12	72.98	0.62	8.35	0	0.31	1	2	CL	TP	id191	2.25272639771093	9.52782702464702
1.52664	11.23	0	0.77	73.21	0	14.68	0	0	2	3	WH	TP	id192	2.20563089503419	10.1635640454187
1.52223	13.21	3.77	0.79	71.99	0.13	10.02	0	0	1	1	WH	TP	id193	2.6598724437429	8.02156894983364
